,Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares
295,API,"Agora, Inc. - ADS",Q,N,N,100.0,N,N
296,APLD,Applied Digital Corporation - Common Stock,Q,N,N,100.0,N,N
297,APLM,Apollomics Inc. - Class A Ordinary Shares,S,N,D,100.0,N,N
298,APLMW,Apollomics Inc. - Warrant,S,N,N,100.0,N,N
299,APLS,"Apellis Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0,N,N
300,APLT,"Applied Therapeutics, Inc. - Common Stock",G,N,N,100.0,N,N
301,APM,Aptorum Group Limited - Class A Ordinary Shares,S,N,N,100.0,N,N
302,APOG,"Apogee Enterprises, Inc. - Common Stock",Q,N,N,100.0,N,N
303,APP,Applovin Corporation - Class A Common Stock,Q,N,N,100.0,N,N
304,APPF,"AppFolio, Inc. - Class A Common Stock",G,N,N,100.0,N,N
305,APPN,Appian Corporation - Class A Common Stock,G,N,N,100.0,N,N
306,APPS,"Digital Turbine, Inc. - Common Stock",S,N,N,100.0,N,N
307,APRE,"Aprea Therapeutics, Inc. - Common Stock",S,N,N,100.0,N,N
308,APTO,"Aptose Biosciences, Inc. - Common Shares",S,N,D,100.0,N,N
309,APVO,Aptevo Therapeutics Inc. - Common Stock,S,N,N,100.0,N,N
310,APWC,"Asia Pacific Wire & Cable Corporation Limited  - Common shares, Par value .01 per share",S,N,N,100.0,N,N
311,APXI,APx Acquisition Corp. I - Class A Ordinary Share,G,N,N,100.0,N,N
312,APXIU,APx Acquisition Corp. I - Unit,G,N,N,100.0,N,N
313,APXIW,APx Acquisition Corp. I - Warrant,G,N,N,100.0,N,N
314,APYX,Apyx Medical Corporation - Common Stock,Q,N,N,100.0,N,N
315,AQB,"AquaBounty Technologies, Inc. - Common Stock",S,N,N,100.0,N,N
316,AQMS,"Aqua Metals, Inc. - Common Stock",S,N,D,100.0,N,N
317,AQST,"Aquestive Therapeutics, Inc. - Common Stock",G,N,N,100.0,N,N
